callsign1,callsign2,time,channel,grid,sat,speed,altitude,temp,azimuth,elevation
AB5SS,1K2BAP,2023-07-02 21:26:00,12,EK27ap,2,5,13660,0,285.24,47.2
AB5SS,1K2BAP,2023-07-02 21:36:00,12,EK27ap,2,5,13660,0,285.34,44.9
AB5SS,1K2BAP,2023-07-02 21:46:00,12,EK27ap,2,5,13660,0,285.48,42.6
AB5SS,1K2BAO,2023-07-02 21:56:00,12,EK27ao,2,5,13660,0,285.67,40.31
AB5SS,1K2BAO,2023-07-02 22:06:00,12,EK27ao,2,5,13660,0,285.89,38.02
AB5SS,1K2BBO,2023-07-02 22:16:00,12,EK27bo,2,5,13660,0,286.15,35.73
AB5SS,1K2BBN,2023-07-02 22:26:00,12,EK27bn,2,5,13600,0,286.44,33.44
AB5SS,1H2BBN,2023-07-02 22:36:00,12,EK27bn,2,5,13660,-5,286.76,31.16
AB5SS,1K2BBN,2023-07-02 22:46:00,12,EK27bn,2,5,13660,0,287.11,28.88
AB5SS,1H2BBM,2023-07-02 22:56:00,12,EK27bm,2,5,13660,-5,287.48,26.6
AB5SS,1E2BBM,2023-07-02 23:06:00,12,EK27bm,2,5,13660,-10,287.89,24.34
AB5SS,1K2BBM,2023-07-02 23:16:00,12,EK27bm,2,5,13660,0,288.32,22.07
AB5SS,1H2BBL,2023-07-02 23:26:00,12,EK27bl,2,5,13660,-5,288.78,19.82
AB5SS,1E2BBL,2023-07-02 23:36:00,12,EK27bl,2,5,13660,-10,289.27,17.57
AB5SS,1B2BBK,2023-07-02 23:46:00,12,EK27bk,2,5,13660,-15,289.79,15.33
AB5SS,1E2BAI,2023-07-03 13:16:00,12,EK27ai,2,5,13600,-10,70.94,18.3
AB5SS,1E2AAJ,2023-07-03 13:26:00,12,EK27aj,2,0,13660,-10,71.42,20.55
AB5SS,1B2BAJ,2023-07-03 13:36:00,12,EK27aj,2,5,13660,-15,71.87,22.81
AB5SS,1H2AAJ,2023-07-03 13:46:00,12,EK27aj,2,0,13660,-5,72.3,25.07
AB5SS,1E2BBJ,2023-07-03 13:56:00,12,EK27bj,2,5,13660,-10,72.7,27.35
AB5SS,1K2ABK,2023-07-03 14:06:00,12,EK27bk,2,0,13660,0,73.07,29.62
AB5SS,1H2ABK,2023-07-03 14:16:00,12,EK27bk,2,0,13660,-5,73.41,31.9
AB5SS,1K2ABK,2023-07-03 14:26:00,12,EK27bk,2,0,13660,0,73.73,34.19
AB5SS,1H2ABK,2023-07-03 14:36:00,12,EK27bk,2,0,13660,-5,74.01,36.47
AB5SS,1K2ABK,2023-07-03 14:46:00,12,EK27bk,2,0,13600,0,74.26,38.77
AB5SS,1K2BBK,2023-07-03 15:06:00,12,EK27bk,2,5,13600,0,74.65,43.36
AB5SS,1K2BCK,2023-07-03 15:16:00,12,EK27ck,2,5,13600,0,74.78,45.66
AB5SS,1K2BCK,2023-07-03 15:26:00,12,EK27ck,2,5,13660,0,74.87,47.96
AB5SS,1H2BCL,2023-07-03 15:36:00,12,EK27cl,2,5,13660,-5,74.9,50.26
AB5SS,1K2BCL,2023-07-03 15:46:00,12,EK27cl,2,5,13660,0,74.88,52.56
AB5SS,1K2BCL,2023-07-03 15:56:00,12,EK27cl,2,5,13660,0,74.78,54.86
AB5SS,1N2BDL,2023-07-03 16:06:00,12,EK27dl,2,5,13600,5,74.6,57.16
AB5SS,1N2BDL,2023-07-03 16:16:00,12,EK27dl,2,5,13660,5,74.32,59.45
AB5SS,1K2ADM,2023-07-03 16:26:00,12,EK27dm,2,0,13660,0,73.91,61.74
AB5SS,1K2BDM,2023-07-03 16:36:00,12,EK27dm,2,5,13660,0,73.35,64.03
AB5SS,1H2BDM,2023-07-03 16:56:00,12,EK27dm,2,5,13660,-5,71.58,68.58
AB5SS,1N2BEM,2023-07-03 17:06:00,12,EK27em,2,5,13660,5,70.22,70.83
AB5SS,1K2BEM,2023-07-03 17:16:00,12,EK27em,2,5,13660,0,68.39,73.06
AB5SS,1N2BEM,2023-07-03 17:26:00,12,EK27em,2,5,13660,5,65.88,75.26
AB5SS,1K2BEM,2023-07-03 17:36:00,12,EK27em,2,5,13660,0,62.35,77.41
AB5SS,1K2AEM,2023-07-03 17:46:00,12,EK27em,2,0,13660,0,57.24,79.47
AB5SS,1K2AFM,2023-07-03 17:56:00,12,EK27fm,2,0,13660,0,49.56,81.39
AB5SS,1H2AFM,2023-07-03 18:06:00,12,EK27fm,2,0,13720,-5,37.66,83.04
AB5SS,1K2AFM,2023-07-03 18:16:00,12,EK27fm,2,0,13660,0,19.61,84.2
AB5SS,1K2AFM,2023-07-03 18:26:00,12,EK27fm,2,0,13660,0,356.24,84.54
AB5SS,1K2AFM,2023-07-03 18:36:00,12,EK27fm,2,0,13660,0,334.05,83.91
AB5SS,1E2AFM,2023-07-03 18:46:00,12,EK27fm,2,0,13660,-10,318.05,82.57
AB5SS,1N2AFM,2023-07-03 18:56:00,12,EK27fm,2,0,13660,5,307.68,80.81
AB5SS,1K2AFM,2023-07-03 19:06:00,12,EK27fm,2,0,13660,0,300.93,78.84
AB5SS,1N2AGM,2023-07-03 19:16:00,12,EK27gm,2,0,13660,5,296.39,76.75
AB5SS,1K2BGM,2023-07-03 19:26:00,12,EK27gm,2,5,13660,0,293.23,74.58
AB5SS,1N2BGN,2023-07-03 19:36:00,12,EK27gn,2,5,13720,5,290.95,72.37
AB5SS,1N2BGN,2023-07-03 19:46:00,12,EK27gn,2,5,13660,5,289.28,70.14
AB5SS,1K2BGN,2023-07-03 19:56:00,12,EK27gn,2,5,13660,0,288.05,67.88
AB5SS,1N2BGO,2023-07-03 20:06:00,12,EK27go,2,5,13660,5,287.12,65.6
AB5SS,1N2BGO,2023-07-03 20:16:00,12,EK27go,2,5,13660,5,286.43,63.32
AB5SS,1N2BGP,2023-07-03 20:26:00,12,EK27gp,2,5,13600,5,285.92,61.03
AB5SS,1N2BGP,2023-07-03 20:36:00,12,EK27gp,2,5,13600,5,285.56,58.74
